DATE,ATNHPIUS19740Q
1976-04-01,31.91
1976-07-01,31.67
1976-10-01,32.57
1977-01-01,33.5
1977-04-01,34.23
1977-07-01,37.4
1977-10-01,39.48
1978-01-01,41.74
1978-04-01,44.12
1978-07-01,46.94
1978-10-01,49.11
1979-01-01,51.54
1979-04-01,53.1
1979-07-01,55.22
1979-10-01,55.21
1980-01-01,56.42
1980-04-01,57.94
1980-07-01,60.52
1980-10-01,60.18
1981-01-01,61.72
1981-04-01,62.74
1981-07-01,65.07
1981-10-01,65.41
1982-01-01,68.32
1982-04-01,68.72
1982-07-01,70.28
1982-10-01,72.8
1983-01-01,72.19
1983-04-01,72.17
1983-07-01,73.26
1983-10-01,71.36
1984-01-01,73.54
1984-04-01,73.54
1984-07-01,74.33
1984-10-01,72.47
1985-01-01,73.73
1985-04-01,73.81
1985-07-01,73.84
1985-10-01,72.47
1986-01-01,74.73
1986-04-01,74.86
1986-07-01,74.7
1986-10-01,74.17
1987-01-01,74.44
1987-04-01,73.49
1987-07-01,72.78
1987-10-01,70.99
1988-01-01,71.54
1988-04-01,71.53
1988-07-01,70.77
1988-10-01,70.06
1989-01-01,70.1
1989-04-01,70.34
1989-07-01,71.66
1989-10-01,71.15
1990-01-01,71.2
1990-04-01,71.96
1990-07-01,72.5
1990-10-01,72.9
1991-01-01,73.24
1991-04-01,74.4
1991-07-01,74.88
1991-10-01,75.98
1992-01-01,77.33
1992-04-01,78.75
1992-07-01,80.56
1992-10-01,81.8
1993-01-01,83.22
1993-04-01,84.83
1993-07-01,87.19
1993-10-01,89.08
1994-01-01,91.51
1994-04-01,95.51
1994-07-01,97.65
1994-10-01,98.2
1995-01-01,100.00
1995-04-01,101.87
1995-07-01,103.72
1995-10-01,105.37
1996-01-01,106.3
1996-04-01,107.62
1996-07-01,108.87
1996-10-01,110.54
1997-01-01,112.06
1997-04-01,113.63
1997-07-01,115.51
1997-10-01,117.39
1998-01-01,119
1998-04-01,120.77
1998-07-01,123.53
1998-10-01,125.14
1999-01-01,127.89
1999-04-01,132.91
1999-07-01,138.51
1999-10-01,141.35
2000-01-01,147.31
2000-04-01,152.06
2000-07-01,156.58
2000-10-01,160.62
2001-01-01,164.88
2001-04-01,168.64
2001-07-01,171.99
2001-10-01,173.2
2002-01-01,175.17
2002-04-01,177.24
2002-07-01,179.33
2002-10-01,180.25
2003-01-01,180.66
2003-04-01,181.31
2003-07-01,181.8
2003-10-01,184.22
2004-01-01,185.42
2004-04-01,186.13
2004-07-01,188.4
2004-10-01,190.02
2005-01-01,191.68
2005-04-01,193.31
2005-07-01,195.45
2005-10-01,197.02
2006-01-01,196.15
2006-04-01,196.29
2006-07-01,196.09
2006-10-01,196.95
2007-01-01,195.78
2007-04-01,195.44
2007-07-01,192.31
2007-10-01,193.06
2008-01-01,193.38
2008-04-01,191.86
2008-07-01,187.95
2008-10-01,188.92
2009-01-01,193.09
2009-04-01,190.63
2009-07-01,186.61
2009-10-01,186.97
2010-01-01,185.84
2010-04-01,184.21
2010-07-01,187.23
2010-10-01,186.79
2011-01-01,182.47
2011-04-01,179.32
2011-07-01,181.82
2011-10-01,183.24
2012-01-01,182.6
2012-04-01,184.7
2012-07-01,187.78
2012-10-01,189.95
2013-01-01,193.24
2013-04-01,198.96
2013-07-01,205.99
2013-10-01,208.78
2014-01-01,212.19
2014-04-01,220.82
2014-07-01,225.77
2014-10-01,230.02
2015-01-01,234.48
2015-04-01,245.87
2015-07-01,255.32
2015-10-01,259.58
2016-01-01,264.97
2016-04-01,274.72
2016-07-01,282.22
2016-10-01,286.41
2017-01-01,293.01
2017-04-01,304.4
2017-07-01,309.06
2017-10-01,313.93
2018-01-01,322.39
2018-04-01,331.32
2018-07-01,335.72
2018-10-01,336.05
2019-01-01,340.29
2019-04-01,345.18
2019-07-01,347.21
2019-10-01,349.95
2020-01-01,353.25
2020-04-01,356.84
2020-07-01,363.23
2020-10-01,369.44
