DATE,ATNHPIUS34980Q
1979-07-01,50.68
1979-10-01,50.65
1980-01-01,51.8
1980-04-01,50.21
1980-07-01,53.38
1980-10-01,52.1
1981-01-01,50.27
1981-04-01,55.01
1981-07-01,59.87
1981-10-01,49.71
1982-01-01,58.31
1982-04-01,57.61
1982-07-01,59.31
1982-10-01,55.43
1983-01-01,59.91
1983-04-01,61.08
1983-07-01,61.1
1983-10-01,62.44
1984-01-01,63.11
1984-04-01,65.38
1984-07-01,65.81
1984-10-01,67.3
1985-01-01,68.58
1985-04-01,69.54
1985-07-01,70.14
1985-10-01,71.69
1986-01-01,73.58
1986-04-01,74.58
1986-07-01,76.37
1986-10-01,78.14
1987-01-01,80.17
1987-04-01,81.64
1987-07-01,81.32
1987-10-01,82.68
1988-01-01,82.76
1988-04-01,83.73
1988-07-01,83.71
1988-10-01,83.14
1989-01-01,82.97
1989-04-01,83.78
1989-07-01,83.56
1989-10-01,83.32
1990-01-01,83.81
1990-04-01,83.32
1990-07-01,82.91
1990-10-01,83.26
1991-01-01,83.43
1991-04-01,83.55
1991-07-01,83.84
1991-10-01,84.37
1992-01-01,85.28
1992-04-01,85.24
1992-07-01,86.8
1992-10-01,86.74
1993-01-01,86.86
1993-04-01,88.4
1993-07-01,89.67
1993-10-01,91.03
1994-01-01,92.51
1994-04-01,95.34
1994-07-01,97.24
1994-10-01,98.14
1995-01-01,100.00
1995-04-01,102.08
1995-07-01,103.69
1995-10-01,105.56
1996-01-01,107.63
1996-04-01,108.96
1996-07-01,110.06
1996-10-01,111.41
1997-01-01,113.39
1997-04-01,114.76
1997-07-01,116.1
1997-10-01,117.62
1998-01-01,119.5
1998-04-01,120.64
1998-07-01,122.34
1998-10-01,123.85
1999-01-01,124.6
1999-04-01,125.26
1999-07-01,125.77
1999-10-01,126.47
2000-01-01,127.56
2000-04-01,128.15
2000-07-01,129.96
2000-10-01,131.1
2001-01-01,133.95
2001-04-01,134.53
2001-07-01,135.29
2001-10-01,136.7
2002-01-01,137.59
2002-04-01,137.87
2002-07-01,139.64
2002-10-01,140.72
2003-01-01,141.24
2003-04-01,142.41
2003-07-01,143.46
2003-10-01,145.01
2004-01-01,146.16
2004-04-01,147.81
2004-07-01,150.53
2004-10-01,152.69
2005-01-01,154.46
2005-04-01,158.18
2005-07-01,161.38
2005-10-01,164.77
2006-01-01,167.92
2006-04-01,172.52
2006-07-01,175.38
2006-10-01,178.92
2007-01-01,180.8
2007-04-01,182.96
2007-07-01,183.93
2007-10-01,184.89
2008-01-01,185.56
2008-04-01,185.47
2008-07-01,182.38
2008-10-01,183.72
2009-01-01,183.79
2009-04-01,181.41
2009-07-01,176.2
2009-10-01,175.14
2010-01-01,173.79
2010-04-01,173.19
2010-07-01,174.99
2010-10-01,174.14
2011-01-01,169.54
2011-04-01,168.9
2011-07-01,170
2011-10-01,170.4
2012-01-01,169.37
2012-04-01,169.14
2012-07-01,171.43
2012-10-01,171.92
2013-01-01,173.06
2013-04-01,175.92
2013-07-01,178.26
2013-10-01,180.76
2014-01-01,183.58
2014-04-01,188.51
2014-07-01,191.45
2014-10-01,194.42
2015-01-01,197.62
2015-04-01,202.6
2015-07-01,207.78
2015-10-01,210.11
2016-01-01,215.02
2016-04-01,221.78
2016-07-01,226.32
2016-10-01,230.99
2017-01-01,236.5
2017-04-01,242.54
2017-07-01,248.49
2017-10-01,252.3
2018-01-01,257.82
2018-04-01,264.65
2018-07-01,268.93
2018-10-01,271.88
2019-01-01,274.75
2019-04-01,279.2
2019-07-01,283.12
2019-10-01,285.62
2020-01-01,291.08
2020-04-01,293.45
2020-07-01,299.88
2020-10-01,305.51
